timestamp,rrInterval,areaUp,areaDown,motion
1693556534180,700,654,1588,0
1693556535580,1400,764,8616,0
1693556536220,640,399,2152,0
1693556536860,640,677,2940,0
1693556537120,260,616,163,0
1693556537790,670,977,1722,0
1693556538390,600,441,9832,136
1693556539610,1220,15774,7746,108
1693556541220,1610,1740,75877,22
1693556544590,1310,6214,6967,0
1693556545250,660,9016,5662,12
1693556545820,570,3844,3801,14
1693556546630,810,6143,1031,4
1693556546900,270,338,217,0
1693556547850,950,3542,4907,2
1693556553190,720,3957,342,2
1693556553930,740,1108,3423,0
1693556554570,640,538,8085,0
1693556555950,1380,28075,10154,50
1693556556840,890,20576,2250,116
1693556557690,850,4906,1632,12
1693556558260,570,616,2223,4
1693556558820,560,408,2032,0
1693556559390,570,690,1306,0
1693556560830,1440,8375,7450,0
1693556561800,970,5846,914,4
1693556562660,860,3544,10068,0
1693556564340,1680,25864,7850,4
1693556565400,1060,3492,1995,2
1693556566440,1040,8712,3202,0
1693556567480,1040,2459,1286,2
1693556568820,1340,5773,3508,0
1693556569480,660,502,2295,0
1693556570180,700,629,1437,0
1693556571210,1030,5869,8962,4
1693556572540,1330,18097,4495,10
1693556573930,1390,15061,11473,4
1693556574640,710,6167,1385,0
1693556579010,690,585,2445,2
1693556579710,700,668,2698,0
1693556580360,650,635,1404,0
1693556581110,750,1158,12707,6
1693556582060,950,19253,3426,40
1693556582750,690,7329,3438,14
1693556583190,440,2763,1906,38
1693556583980,790,3040,7720,50
1693556585070,1090,22297,12768,72
1693556585790,720,3706,7017,150
1693556586330,540,129,2574,2
1693556586970,640,459,3425,0
1693556587650,680,970,1770,0
1693556588360,710,855,3354,0
1693556589050,690,856,2146,0
1693556589760,710,925,3727,0
1693556590460,700,637,2244,0
1693556591170,710,859,2387,0
1693556591880,710,730,3590,0
1693556592570,690,714,2359,0
1693556593240,670,946,1985,0
1693556593920,680,552,3384,0
1693556594620,700,891,1537,0
1693556595810,1190,921,13122,6
1693556596760,950,6531,3809,26
1693556597450,690,549,5208,2
1693556598890,1440,7519,4668,32
1693556599600,710,430,5860,0
1693556600310,710,5490,1701,28
1693556600980,670,551,2790,0
1693556602310,1090,4089,3729,48
1693556602810,500,474,1769,0
1693556603710,900,6471,2050,50
1693556604440,730,559,3390,2
1693556605220,780,823,5255,0
1693556606690,1470,11857,8897,18
1693556607430,740,5752,1330,24
1693556608830,1400,655,9660,0
1693556610160,1330,10830,4840,0
1693556610830,670,911,1596,0
1693556611500,670,826,2049,0
1693556612160,660,679,3805,0
1693556612810,650,627,1809,0
1693556613470,660,849,1449,0
1693556614140,670,502,3661,0
1693556614820,680,619,1407,0
1693556615540,720,768,2593,0
1693556616250,710,723,2729,0
1693556616940,690,643,2689,0
1693556617600,660,793,1378,0
1693556618240,640,526,4055,0
1693556618900,660,1270,2004,0
1693556619580,680,899,3513,4
1693556620270,690,806,3594,0
1693556620920,650,799,1311,0
1693556621590,670,874,2806,0
1693556622240,650,499,2611,0
1693556622900,660,705,2070,0
1693556623580,680,804,1663,0
1693556624270,690,625,4044,0
1693556624940,670,613,2525,0
1693556626270,1330,3478,8133,0
1693556626950,680,737,1764,0
1693556627630,680,753,2827,0
1693556628290,660,561,2065,0
1693556629580,1290,727,9696,0
1693556630210,630,624,1512,0
1693556630870,660,828,1321,0
1693556631560,690,611,4503,2
1693556632860,1300,3679,2703,0
1693556633490,630,423,3018,0
1693556634170,680,756,1737,0
1693556634870,700,790,3594,0
1693556635570,700,720,2077,0
1693556636240,670,440,2764,0
1693556636900,660,2987,502,0
1693556637550,650,580,3917,0
1693556644560,700,683,3426,0
1693556645230,670,676,2265,0
1693556645900,670,840,2335,0
1693556646580,680,523,3222,0
1693556647290,710,782,2112,0
1693556648050,760,811,3286,0
1693556648810,760,856,4100,0
1693556649550,740,829,1661,0
1693556650280,730,638,4197,0
1693556650970,690,888,2322,0
1693556651660,690,805,3451,0
1693556652320,660,830,3546,0
1693556652950,630,705,1327,0
1693556653600,650,1011,3899,0
1693556654260,660,673,2871,0
